"projectID";"topic";"title"
"756439";"SMEInst-09-2016-2017";"Stimulating the innovation potential of SMEs for a low carbon and efficient energy system"
"752516";"MSCA-IF-2016";"Individual Fellowships"
"663824";"PHC-12-2014-1";"Clinical research for the validation of biomarkers and/or diagnostic medical devices"
"898146";"MSCA-IF-2019";"Individual Fellowships"
"101038099";"WF-03-2020";"Widening Fellowships"
"711437";"Space-SME-2015-1";"SME Instrument"
"895461";"MSCA-IF-2019";"Individual Fellowships"
"693514";"EURO-6-2015";"Meeting new societal needs by using emerging technologies in the public sector"
"640176";"EO-1-2014";"New ideas for Earth-relevant space applications"
"891647";"MSCA-IF-2019";"Individual Fellowships"
"750495";"MSCA-IF-2016";"Individual Fellowships"
"895213";"MSCA-IF-2019";"Individual Fellowships"
"896014";"MSCA-IF-2019";"Individual Fellowships"
"101022757";"MSCA-IF-2020";"Individual Fellowships"
"838816";"MSCA-IF-2018";"Individual Fellowships"
"838703";"MSCA-IF-2018";"Individual Fellowships"
"101023220";"MSCA-IF-2020";"Individual Fellowships"
"886793";"MSCA-IF-2019";"Individual Fellowships"
"101027745";"MSCA-IF-2020";"Individual Fellowships"
"843794";"MSCA-IF-2018";"Individual Fellowships"
"835489";"MSCA-IF-2018";"Individual Fellowships"
"659338";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"824063";"INFRASUPP-01-2018-2019";"Policy and international cooperation measures for research infrastructures"
"655770";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"832501";"MSCA-IF-2018";"Individual Fellowships"
"659070";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"776282";"COMPET-4-2017";"Scientific data exploitation"
"817987";"MSCA-NIGHT-2018";"European Researchers' Night"
"101021701";"SU-FCT01-2018-2019-2020";"Human factors, and social, societal, and organisational aspects to solve issues in fighting against crime and terrorism"
"889687";"EIC-SMEInst-2018-2020";"SME instrument"
"101008100";"JTI-CS2-2020-CfP11-LPA-01-93";"Engine bleed jet pumps continuous behaviour modelization"
"873918";"EIC-SMEInst-2018-2020";"SME instrument"
"967144";"EIC-SMEInst-2018-2020";"SME instrument"
"861264";"INNOSUP-02-2019-2020";"European SME innovation Associate - pilot"
"849628";"EIC-SMEInst-2018-2020";"SME instrument"
"951846";"FETPROACT-EIC-05-2019";"FET Proactive: emerging paradigms and communities"
"883054";"SU-GM01-2018-2019-2020";"Pan-European networks of practitioners and other actors in the field of security"
"660343";"MSCA-IF-2014-GF";"Marie Skłodowska-Curie Individual Fellowships (IF-GF)"
"101028886";"MSCA-IF-2020";"Individual Fellowships"
"897497";"MSCA-IF-2019";"Individual Fellowships"
"893027";"MSCA-IF-2019";"Individual Fellowships"
"818528";"MSCA-NIGHT-2018";"European Researchers' Night"
"721631";"MSCA-NIGHT-2016";"European Researchers' Night"
"732319";"DS-01-2016";"Assurance and Certification for Trustworthy and Secure ICT systems, services and components"
"840034";"LC-SC3-EE-16-2018-2019-2020";"Supporting public authorities to implement the Energy Union"
"957237";"ICT-51-2020";"Big Data technologies and extreme-scale analytics"
"641607";"GALILEO-4-2014";"EGNSS awareness raising, capacity building and/or promotion activities, inside or outside of the European Union"
"645028";"ICT-06-2014";"Smart optical and wireless network technologies"
"101024524";"MSCA-IF-2020";"Individual Fellowships"
"655109";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"742098";"MSCA-IF-2016";"Individual Fellowships"
"750833";"MSCA-IF-2016";"Individual Fellowships"
"779312";"SC1-PM-20-2017";"Methods research for improved health economic evaluation"
"649565";"EURO-3-2014";"European societies after the crisis"
"634144";"PHC-23-2014";"Developing and comparing new models for safe and efficient, prevention oriented health and care systems"
"660743";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"844176";"MSCA-IF-2018";"Individual Fellowships"
"871018";"DT-TRANSFORMATIONS-07-2019";"The impact of technological transformations on children and youth"
"749161";"MSCA-IF-2016";"Individual Fellowships"
"841930";"MSCA-IF-2018";"Individual Fellowships"
"898228";"MSCA-IF-2019";"Individual Fellowships"
"745954";"MSCA-IF-2016";"Individual Fellowships"
"695169";"EE-07-2015";"Enhancing the capacity of public authorities to plan and implement sustainable energy policies and measures"
"894917";"MSCA-IF-2019";"Individual Fellowships"
"101027977";"MSCA-IF-2020";"Individual Fellowships"
"892773";"MSCA-IF-2019";"Individual Fellowships"
"101030055";"MSCA-IF-2020";"Individual Fellowships"
"115890";"IMI2-2015-04-01";"Enabling Platform on Medicines Adaptive Pathways to Patients"
"733174";"SC1-PM-21-2016";"Implementation research for scaling-up of evidence based innovations and good practice in Europe and low- and middle-income countries"
"101025822";"MSCA-IF-2020";"Individual Fellowships"
"750706";"MSCA-IF-2016";"Individual Fellowships"
"656782";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"840772";"MSCA-IF-2018";"Individual Fellowships"
"658989";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"101032025";"MSCA-IF-2020";"Individual Fellowships"
"101028232";"MSCA-IF-2020";"Individual Fellowships"
"653667";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"823826";"MSCA-RISE-2018";"Research and Innovation Staff Exchange"
"101022577";"MSCA-IF-2020";"Individual Fellowships"
"692145";"H2020-TWINN-2015";"Twinning"
"837730";"MSCA-IF-2018";"Individual Fellowships"
"745662";"MSCA-IF-2016";"Individual Fellowships"
"839528";"MSCA-IF-2018";"Individual Fellowships"
"661210";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"897841";"MSCA-IF-2019";"Individual Fellowships"
"834799";"MSCA-IF-2018";"Individual Fellowships"
"869276";"CE-SC5-08-2018-2019-2020";"Raw materials policy support actions for the circular economy"
"658825";"MSCA-IF-2014-EF";"Marie Skłodowska-Curie Individual Fellowships (IF-EF)"
"888255";"MSCA-IF-2019";"Individual Fellowships"
"101035798";"IBA-SwafS-Support-2-2020";"Support for the Research and Innovation Dimension of European Universities (Part II)"
"897407";"MSCA-IF-2019";"Individual Fellowships"
