from,to,weight,"ver[el[, 1], ]","ver2[el[, 2], ]"
8,1,4.816,CF_80013890324,CF_00623340932
44,1,7.025,CF_80014550307,CF_00623340932
145,1,10.44,CF_01063450322,CF_00623340932
173,1,3.258,CF_02741020305,CF_00623340932
194,4,6.648,CF_10111831003,CF_00401990585
15,8,0.997,CF_00697920320,CF_80013890324
22,8,6.242,CF_00821400322,CF_80013890324
32,8,0.997,CF_00167460302,CF_80013890324
41,8,0.29,CF_01415510930,CF_80013890324
44,9,7.066,CF_80014550307,CF_00970820304
23,10,0.747,CF_01137460323,CF_90030720321
32,11,0.287,CF_00167460302,CF_00915210322
36,12,2.979,CF_00543900310,CF_02166770301
114,13,2.319,CF_02536300300,CF_00161280300
155,13,0.515,CF_01791330309,CF_00161280300
174,13,0.51,CF_02337320309,CF_00161280300
8,15,0.75,CF_80013890324,CF_00697920320
44,15,6.973,CF_80014550307,CF_00697920320
98,15,1.109,CF_01105960320,CF_00697920320
153,15,0.999,CF_00166710301,CF_00697920320
199,15,0.498,CF_00452490303,CF_00697920320
32,19,0.999,CF_00167460302,CF_80035060328
42,19,1.999,CF_01066380328,CF_80035060328
44,19,2.823,CF_80014550307,CF_80035060328
92,19,1.958,CF_02781790304,CF_80035060328
93,19,1.999,CF_03094850231,CF_80035060328
112,19,3.209,CF_00218360303,CF_80035060328
120,19,0.011,CF_94053030303,CF_80035060328
154,19,0.999,CF_01302970932,CF_80035060328
164,19,0.496,CF_01692760307,CF_80035060328
177,19,1.999,CF_80005090107,CF_80035060328
184,19,0.52,CF_02758990309,CF_80035060328
186,19,2.272,CF_01066650316,CF_80035060328
33,20,0.101,CF_00397130584,CF_01207700327
45,20,0.274,CF_02507690309,CF_01207700327
48,20,1.889,CF_00072300312,CF_01207700327
8,22,1.3940000000000001,CF_80013890324,CF_00821400322
44,22,0.167,CF_80014550307,CF_00821400322
51,22,2.7640000000000002,CF_07613050157,CF_00821400322
86,22,1.705,CF_02036220016,CF_00821400322
101,22,0.101,CF_00444400311,CF_00821400322
115,22,0.329,CF_01754250932,CF_00821400322
32,24,0.323,CF_00167460302,CF_01379170937
16,28,1.582,CF_90017110314,CF_90009500316
5,32,1.963,CF_01439610302,CF_00167460302
10,32,3.154,CF_90030720321,CF_00167460302
11,32,3.978,CF_00915210322,CF_00167460302
13,32,0.219,CF_00161280300,CF_00167460302
15,32,1.848,CF_00697920320,CF_00167460302
24,32,0.03,CF_01379170937,CF_00167460302
40,32,0.808,CF_01733410938,CF_00167460302
44,32,7.173,CF_80014550307,CF_00167460302
64,32,0.145,CF_02505450300,CF_00167460302
66,32,1.714,CF_02413520301,CF_00167460302
95,32,6.648,CF_01507200937,CF_00167460302
97,32,0.602,CF_00163780307,CF_00167460302
105,32,0.682,CF_01366720934,CF_00167460302
109,32,0.49,CF_00279150106,CF_00167460302
175,32,0.23,CF_01166360311,CF_00167460302
188,32,0.246,CF_01276250931,CF_00167460302
195,32,2.85,CF_00823410303,CF_00167460302
32,33,8.019,CF_00167460302,CF_00397130584
47,33,0.531,CF_01111730329,CF_00397130584
73,33,7.858,CF_00306930322,CF_00397130584
94,33,7.685,CF_02695580304,CF_00397130584
126,33,7.053,CF_02767580307,CF_00397130584
148,33,0.06,CF_00932030323,CF_00397130584
162,33,0.249,CF_01116970938,CF_00397130584
191,33,6.721,CF_01578960930,CF_00397130584
35,34,0.997,CF_00527500540,CF_00707060323
34,35,0.997,CF_00707060323,CF_00527500540
8,36,8.386,CF_80013890324,CF_00543900310
12,36,3.907,CF_02166770301,CF_00543900310
51,36,0.098,CF_07613050157,CF_00543900310
72,36,1.164,CF_01884350305,CF_00543900310
84,36,1.744,CF_00566630323,CF_00543900310
85,36,1.114,CF_01098690322,CF_00543900310
141,36,0.219,CF_01864210388,CF_00543900310
142,36,0.219,CF_01147590325,CF_00543900310
169,36,6.861,CF_00284810173,CF_00543900310
33,40,1.328,CF_00397130584,CF_01733410938
8,41,0.416,CF_80013890324,CF_01415510930
8,44,2.746,CF_80013890324,CF_80014550307
15,44,1.249,CF_00697920320,CF_80014550307
19,44,0.498,CF_80035060328,CF_80014550307
20,44,1.002,CF_01207700327,CF_80014550307
22,44,3.5709999999999997,CF_00821400322,CF_80014550307
32,44,0.331,CF_00167460302,CF_80014550307
51,44,1.3719999999999999,CF_07613050157,CF_80014550307
56,44,0.997,CF_06031680017,CF_80014550307
57,44,0.997,CF_02584950303,CF_80014550307
60,44,0.997,CF_01141000313,CF_80014550307
61,44,0.164,CF_02562580304,CF_80014550307
63,44,0.126,CF_01071600306,CF_80014550307
79,44,0.997,CF_01791730938,CF_80014550307
80,44,0.997,CF_01252510324,CF_80014550307
81,44,0.997,CF_01133800324,CF_80014550307
82,44,0.997,CF_01589470937,CF_80014550307
87,44,0.296,CF_00065130932,CF_80014550307
33,47,0.356,CF_00397130584,CF_01111730329
20,48,2.552,CF_01207700327,CF_00072300312
44,48,4.06,CF_80014550307,CF_00072300312
44,50,2.053,CF_80014550307,CF_02665730301
49,50,0.561,CF_97231970589,CF_02665730301
108,50,1.492,CF_02460420306,CF_02665730301
22,51,6.524,CF_00821400322,CF_07613050157
113,52,0.306,CF_01278710932,CF_01532950936
44,53,0.11,CF_80014550307,CF_02602970309
61,53,6.568,CF_02562580304,CF_02602970309
44,56,2.642,CF_80014550307,CF_06031680017
70,56,1.388,CF_00124430323,CF_06031680017
75,56,0.49,CF_02096270307,CF_06031680017
149,56,7.11,CF_07616540964,CF_06031680017
44,57,0.742,CF_80014550307,CF_02584950303
58,57,2.83,CF_94098210308,CF_02584950303
116,57,0.997,CF_02349490306,CF_02584950303
31,59,0.306,CF_PTTMRC68D15L483H,CF_01365820115
44,59,3.001,CF_80014550307,CF_01365820115
9,62,8.482,CF_00970820304,CF_00040990319
26,64,1.079,CF_02636870301,CF_02505450300
33,64,0.583,CF_00397130584,CF_02505450300
15,66,0.548,CF_00697920320,CF_02413520301
152,66,7.088,CF_02723870305,CF_02413520301
76,67,0.507,CF_02194060378,CF_02521860300
10,69,7.721,CF_90030720321,CF_00998050322
111,69,7.129,CF_00118410323,CF_00998050322
8,70,1.076,CF_80013890324,CF_00124430323
56,70,0.914,CF_06031680017,CF_00124430323
155,73,7.066,CF_01791330309,CF_00306930322
51,84,0.444,CF_07613050157,CF_00566630323
20,87,6.73,CF_01207700327,CF_00065130932
22,87,7.321,CF_00821400322,CF_00065130932
44,87,7.546,CF_80014550307,CF_00065130932
138,87,7.206,CF_02805560303,CF_00065130932
166,87,4.255,CF_01618730996,CF_00065130932
117,93,0.241,CF_02295440305,CF_03094850231
44,95,6.779,CF_80014550307,CF_01507200937
69,95,0.238,CF_00998050322,CF_01507200937
83,95,0.496,CF_01144240320,CF_01507200937
55,96,0.334,CF_01181070325,CF_05165060962
89,97,7.762,CF_01110830310,CF_00163780307
8,99,7.871,CF_80013890324,CF_00046830329
14,100,2.869,CF_03476550102,CF_02096520305
88,101,0.496,CF_10286570154,CF_00444400311
50,108,0.498,CF_02665730301,CF_02460420306
44,110,0.06,CF_80014550307,CF_00162990303
118,110,7.398,CF_01750650309,CF_00162990303
44,111,0.101,CF_80014550307,CF_00118410323
32,112,0.999,CF_00167460302,CF_00218360303
198,112,6.609,CF_01532250931,CF_00218360303
61,113,0.496,CF_02562580304,CF_01278710932
151,113,7.091,CF_06180320969,CF_01278710932
99,116,7.562,CF_00046830329,CF_02349490306
163,117,0.545,CF_01578130930,CF_02295440305
8,122,7.066,CF_80013890324,CF_01391460936
20,122,0.997,CF_01207700327,CF_01391460936
32,122,1.355,CF_00167460302,CF_01391460936
36,122,3.124,CF_00543900310,CF_01391460936
72,122,7.477,CF_01884350305,CF_01391460936
74,122,1.556,CF_01680840939,CF_01391460936
87,122,6.585,CF_00065130932,CF_01391460936
104,122,2.609,CF_01477620932,CF_01391460936
111,122,0.496,CF_00118410323,CF_01391460936
128,122,3.713,CF_02548050307,CF_01391460936
8,124,1.574,CF_80013890324,CF_02217760301
32,125,7.206,CF_00167460302,CF_00917620320
44,125,7.647,CF_80014550307,CF_00917620320
132,125,0.55,CF_02008340016,CF_00917620320
44,126,0.6539999999999999,CF_80014550307,CF_02767580307
137,126,7.22,CF_05935090968,CF_02767580307
44,127,8.164,CF_80014550307,CF_01126630936
112,128,0.074,CF_00218360303,CF_02548050307
122,128,0.114,CF_01391460936,CF_02548050307
124,129,0.246,CF_02217760301,CF_92067000346
69,130,0.997,CF_00998050322,CF_01847860309
192,130,2.089,CF_04407320284,CF_01847860309
30,137,1.415,CF_08154500964,CF_05935090968
32,137,0.238,CF_00167460302,CF_05935090968
126,137,7.316,CF_02767580307,CF_05935090968
119,138,0.329,CF_02355790284,CF_02805560303
51,142,7.028,CF_07613050157,CF_01147590325
102,144,0.966,CF_00236760302,CF_80012710325
1,145,0.952,CF_00623340932,CF_01063450322
10,145,0.569,CF_90030720321,CF_01063450322
38,145,8.203,CF_10915160153,CF_01063450322
96,147,0.964,CF_05165060962,CF_01251340327
160,151,6.957,CF_00442660304,CF_06180320969
18,153,0.988,CF_01427710304,CF_00166710301
44,153,14.067,CF_80014550307,CF_00166710301
22,157,0.331,CF_00821400322,CF_01133270320
95,160,0.246,CF_01507200937,CF_00442660304
138,165,0.114,CF_02805560303,CF_01034950319
10,166,7.915,CF_90030720321,CF_01618730996
14,166,0.789,CF_03476550102,CF_01618730996
19,166,1.996,CF_80035060328,CF_01618730996
95,166,1.525,CF_01507200937,CF_01618730996
100,166,0.789,CF_02096520305,CF_01618730996
53,167,4.233,CF_02602970309,CF_02051430300
150,168,0.528,CF_02662080304,CF_02806730301
205,168,3.754,CF_01123830323,CF_02806730301
13,169,13.568999999999999,CF_00161280300,CF_00284810173
32,169,4.841,CF_00167460302,CF_00284810173
121,171,0.079,CF_01837970308,CF_02657820300
36,175,0.334,CF_00543900310,CF_01166360311
157,175,0.34,CF_01133270320,CF_01166360311
8,176,7.723,CF_80013890324,CF_00848700100
64,179,3.54,CF_02505450300,CF_03711600266
6,180,0.794,CF_02451430306,CF_91043880938
15,181,0.446,CF_00697920320,CF_00167700301
32,181,0.493,CF_00167460302,CF_00167700301
193,181,3.107,CF_00268100302,CF_00167700301
131,190,0.493,CF_02418050304,CF_PCAMSM65S23L483O
123,191,0.099,CF_00976420307,CF_01578960930
95,192,0.86,CF_01507200937,CF_04407320284
8,193,5.325,CF_80013890324,CF_00268100302
4,194,8.561,CF_00401990585,CF_10111831003
54,194,2.83,CF_02102250632,CF_10111831003
153,195,0.348,CF_00166710301,CF_00823410303
112,198,2.251,CF_00218360303,CF_01532250931
15,200,6.804,CF_00697920320,CF_01169250311
180,200,2.144,CF_91043880938,CF_01169250311
183,204,0.194,CF_01672000930,CF_02555040308
168,205,3.617,CF_02806730301,CF_01123830323
135,206,0.504,CF_01175280930,CF_01203430325
1,207,0.997,CF_00623340932,CF_97614340012
2,208,0.408,CF_02652590809,CF_01278080807
3,209,4.2490000000000006,CF_00848700159,CF_04734890264
7,210,1.944,CF_01500840937,CF_01377230931
8,211,0.364,CF_80013890324,CF_01114290313
8,212,8.424,CF_80013890324,CF_01176840328
16,213,4.746,CF_90017110314,CF_90035850313
17,213,3.164,CF_90017080319,CF_90035850313
28,213,1.38,CF_90009500316,CF_90035850313
18,214,0.005,CF_01427710304,CF_00072220932
19,215,5.864000000000001,CF_80035060328,CF_01574210934
21,216,1.5,CF_80001020314,CF_91015350316
25,217,0.498,CF_00922990320,CF_02175740303
27,217,1.67,CF_02102200306,CF_02175740303
29,218,1.336,CF_94116460307,CF_91004270301
15,219,0.12,CF_00697920320,CF_04051130260
37,220,0.192,CF_00186880308,CF_01571570306
39,221,0.501,CF_SPNFPP73C22D548L,CF_00161840301
43,222,0.2,CF_00599830932,CF_01132820935
114,222,1.178,CF_02536300300,CF_01132820935
46,223,0.493,CF_00915290324,CF_01207340322
48,224,0.249,CF_00072300312,CF_02449820303
20,225,0.561,CF_01207700327,CF_01221840323
33,226,3.124,CF_00397130584,CF_13071590155
52,227,0.022,CF_01532950936,CF_01831170301
22,228,8.063,CF_00821400322,CF_09971080156
44,228,0.405,CF_80014550307,CF_09971080156
77,228,0.997,CF_02440000301,CF_09971080156
44,229,0.233,CF_80014550307,CF_01584310302
59,230,2.861,CF_01365820115,CF_01402980112
20,231,0.983,CF_01207700327,CF_02284230303
18,232,1.331,CF_01427710304,CF_13081090154
62,233,0.331,CF_00040990319,CF_01053680318
65,234,1.908,CF_01585860933,CF_01318920939
67,235,0.326,CF_02521860300,CF_03655680407
68,236,1.999,CF_01607790936,CF_00050880319
20,237,13.172,CF_01207700327,CF_02788830301
20,238,2.96,CF_01207700327,CF_02792450302
71,238,3.302,CF_03225090962,CF_02792450302
20,239,0.808,CF_01207700327,CF_01919360303
78,240,0.274,CF_00623270931,CF_01142090313
41,241,0.739,CF_01415510930,CF_80007410931
90,242,1.44,CF_TRLNRC56S09L424L,CF_01230040329
58,243,0.501,CF_94098210308,CF_00055180327
11,244,0.652,CF_00915210322,CF_01076090321
32,245,2.998,CF_00167460302,CF_00211830328
32,246,0.03,CF_00167460302,CF_00255970303
8,247,3.806,CF_80013890324,CF_01267410320
91,248,0.493,CF_01224300325,CF_02627960301
44,249,0.493,CF_80014550307,CF_01087710321
44,250,0.841,CF_80014550307,CF_80011330323
144,250,0.348,CF_80012710325,CF_80011330323
32,251,0.06,CF_00167460302,CF_00957890320
129,251,7.261,CF_92067000346,CF_00957890320
10,252,0.178,CF_90030720321,CF_01463130300
69,252,0.178,CF_00998050322,CF_01463130300
103,253,7.524,CF_03348020102,CF_01167510310
44,254,7.477,CF_80014550307,CF_08411960969
204,254,2.029,CF_02555040308,CF_08411960969
106,255,7.474,CF_11269510159,CF_CSTRSN51P43L424I
107,256,10.677,CF_00817910284,CF_01079320329
110,257,1.407,CF_00162990303,CF_02195440306
111,258,0.953,CF_00118410323,CF_00046260329
68,259,1.889,CF_01607790936,CF_01697470936
33,260,7.436,CF_00397130584,CF_00074530932
44,261,7.417,CF_80014550307,CF_01261130320
44,262,0.244,CF_80014550307,CF_01633850936
44,263,0.107,CF_80014550307,CF_00255390932
8,264,0.504,CF_80013890324,CF_00235290327
95,265,7.354,CF_01507200937,CF_01845990306
44,266,5.514,CF_80014550307,CF_02337550301
110,266,1.947,CF_00162990303,CF_02337550301
125,267,2.166,CF_00917620320,CF_01090520329
52,268,1.561,CF_01532950936,CF_90097270327
127,269,3.803,CF_01126630936,CF_01056020322
44,270,7.283,CF_80014550307,CF_01137480313
130,271,1.314,CF_01847860309,CF_00074230939
66,272,7.053,CF_02413520301,CF_01678570308
133,272,0.241,CF_00918410325,CF_01678570308
140,272,7.187,CF_01534830300,CF_01678570308
134,273,0.198,CF_02052570302,CF_02106520303
125,274,0.548,CF_00917620320,CF_MNSMRC58D19L483U
136,275,1.002,CF_MCCMRN61H51L424X,CF_BNDNDR60A31L424D
44,276,0.851,CF_80014550307,CF_02575170309
20,277,0.216,CF_01207700327,CF_00812590305
139,278,1.002,CF_01206850321,CF_04015870969
143,279,0.367,CF_02394030304,CF_02089140301
44,280,0.753,CF_80014550307,CF_02401440157
146,281,7.149,CF_01194140321,CF_02758300301
83,282,2.475,CF_01144240320,CF_01836920304
185,282,0.162,CF_02118550306,CF_01836920304
22,283,4.159,CF_00821400322,CF_00047510326
147,283,7.143,CF_01251340327,CF_00047510326
8,284,1.257,CF_80013890324,CF_01021680325
44,285,7.11,CF_80014550307,CF_00223850306
13,286,2.478,CF_00161280300,CF_01514450301
122,287,7.066,CF_01391460936,CF_02401520909
53,288,7.047,CF_02602970309,CF_02716590308
156,289,0.575,CF_01238990327,CF_00746150325
44,290,0.501,CF_80014550307,CF_00916570328
48,291,0.118,CF_00072300312,CF_01047330327
158,292,0.662,CF_02390970305,CF_13278551000
159,293,6.976,CF_00806630323,CF_01251210322
122,294,0.408,CF_01391460936,CF_01150670311
22,295,6.897,CF_00821400322,CF_01138620313
44,295,6.919,CF_80014550307,CF_01138620313
87,296,6.919,CF_00065130932,CF_04337640280
161,297,6.919,CF_02817090307,CF_07477880962
22,298,0.501,CF_00821400322,CF_00930530324
170,298,6.861,CF_02393640301,CF_00930530324
32,299,1.692,CF_00167460302,CF_00141000935
197,299,6.623,CF_03335340166,CF_00141000935
111,300,0.246,CF_00118410323,CF_01157830314
165,301,0.158,CF_01034950319,CF_01163460312
22,302,0.496,CF_00821400322,CF_FLRRRT78T61L424W
167,303,6.877,CF_02051430300,CF_02550980300
171,304,6.861,CF_02657820300,CF_01118200300
172,305,0.507,CF_02600530303,CF_01067780328
15,306,6.721,CF_00697920320,CF_01635250226
175,306,2.174,CF_01166360311,CF_01635250226
176,307,1.5,CF_00848700100,CF_01082040310
44,308,6.815,CF_80014550307,CF_02511570307
44,309,0.246,CF_80014550307,CF_02690660309
178,309,0.246,CF_01568510984,CF_02690660309
179,310,0.471,CF_03711600266,CF_01751660935
181,311,0.69,CF_00167700301,CF_02587700309
145,312,1.969,CF_01063450322,CF_00605750215
182,313,2.631,CF_00373660315,CF_01091630317
74,314,6.743,CF_01680840939,CF_01252320930
187,315,3.291,CF_02156920304,CF_00158530303
189,316,0.523,CF_03505490262,CF_02559330309
190,317,6.721,CF_PCAMSM65S23L483O,CF_02853700306
32,318,1.807,CF_00167460302,CF_02629720307
36,319,2.33,CF_00543900310,CF_00928190503
179,320,6.648,CF_03711600266,CF_00944020320
196,321,6.645,CF_01172520320,CF_01748940937
13,322,0.014,CF_00161280300,CF_09826481005
200,323,2.522,CF_01169250311,CF_02786080305
201,324,6.593,CF_00387360936,CF_02754500300
202,325,6.59,CF_91022010937,CF_02472780309
203,326,6.59,CF_02550190306,CF_02836690301
15,327,2.984,CF_00697920320,CF_02470470309
