from,to,weight
0,0,0.05195224265892223
0,1,0.0012907389480477573
0,2,0.0035495321071313327
0,3,0.002904162633107454
0,4,0.0025814778960955146
0,5,0
0,6,0.004194901581155212
0,7,3.2268473701193933e-4
0,8,0.001936108422071636
0,9,0
0,10,0.006776379477250726
0,11,0.0016134236850596966
0,12,0.001936108422071636
0,13,0
0,14,3.2268473701193933e-4
0,15,6.453694740238787e-4
0,16,3.2268473701193933e-4
0,17,0
1,0,0.002258793159083575
1,1,0.013552758954501452
1,2,9.68054211035818e-4
1,3,0.0012907389480477573
1,4,0
1,5,3.2268473701193933e-4
1,6,0.0012907389480477573
1,7,0
1,8,6.453694740238787e-4
1,9,3.2268473701193933e-4
1,10,9.68054211035818e-4
1,11,3.2268473701193933e-4
1,12,9.68054211035818e-4
1,13,3.2268473701193933e-4
1,14,6.453694740238787e-4
1,15,0
1,16,3.2268473701193933e-4
1,17,0
2,0,0.011293965795417877
2,1,0.001936108422071636
2,2,0.06421426266537593
2,3,0.00484027105517909
2,4,0.006453694740238786
2,5,9.68054211035818e-4
2,6,0.006131010003226848
2,7,0.003226847370119393
2,8,0.0035495321071313327
2,9,3.2268473701193933e-4
2,10,0.00484027105517909
2,11,0.0016134236850596966
2,12,0.008712487899322363
2,13,6.453694740238787e-4
2,14,0.0016134236850596966
2,15,0.003226847370119393
2,16,0.001936108422071636
2,17,0.0016134236850596966
3,0,0.008712487899322363
3,1,0.001936108422071636
3,2,0.013230074217489512
3,3,0.09196515004840271
3,4,0.007421748951274605
3,5,0.002904162633107454
3,6,0.006776379477250726
3,7,0.003872216844143272
3,8,0.0035495321071313327
3,9,0.005162955792191029
3,10,0.011616650532429816
3,11,0.0016134236850596966
3,12,0.026460148434979024
3,13,0
3,14,0.002258793159083575
3,15,3.2268473701193933e-4
3,16,0.002904162633107454
3,17,0.0016134236850596966
4,0,0.0016134236850596966
4,1,0
4,2,0.002258793159083575
4,3,6.453694740238787e-4
4,4,0.03259115843820587
4,5,3.2268473701193933e-4
4,6,0.001936108422071636
4,7,6.453694740238787e-4
4,8,9.68054211035818e-4
4,9,6.453694740238787e-4
4,10,0.001936108422071636
4,11,9.68054211035818e-4
4,12,6.453694740238787e-4
4,13,0
4,14,6.453694740238787e-4
4,15,0
4,16,0
4,17,6.453694740238787e-4
5,0,6.453694740238787e-4
5,1,0
5,2,0.002904162633107454
5,3,0.0012907389480477573
5,4,3.2268473701193933e-4
5,5,0.008389803162310423
5,6,3.2268473701193933e-4
5,7,0.0016134236850596966
5,8,6.453694740238787e-4
5,9,0
5,10,0.0016134236850596966
5,11,3.2268473701193933e-4
5,12,6.453694740238787e-4
5,13,0
5,14,0
5,15,0
5,16,3.2268473701193933e-4
5,17,3.2268473701193933e-4
6,0,0.006453694740238786
6,1,0.0016134236850596966
6,2,0.00935785737334624
6,3,0.006453694740238786
6,4,0.005162955792191029
6,5,0
6,6,0.05614714424007745
6,7,0.001936108422071636
6,8,0.004194901581155212
6,9,0.0016134236850596966
6,10,0.010648596321393998
6,11,0.001936108422071636
6,12,0.00484027105517909
6,13,0.002258793159083575
6,14,0
6,15,9.68054211035818e-4
6,16,9.68054211035818e-4
6,17,3.2268473701193933e-4
7,0,0.002258793159083575
7,1,0.0012907389480477573
7,2,0.001936108422071636
7,3,0.003226847370119393
7,4,0.0016134236850596966
