from,to,weight,LOC,NACE_group,PG
1,114,4.550308008213553,PORDENONE,OTH,MAN
2,144,0.02737850787132101,UDINE,MAN,MAN
3,251,0.5366187542778919,PORDENONE,MAN,BIO
4,144,0.75564681724846,TRIESTE,MAN,MAN
5,66,0.4928131416837782,UDINE,MAN,MAN
6,66,0.405201916495551,UDINE,MAN,PCM
7,709,1.9301848049281312,TRIESTE,MAN,ENG
8,59,0.9965776865160848,TRIESTE,MAN,MAN
9,59,0.16700889801505817,TRIESTE,MAN,PCM
10,59,2.0616016427104724,TRIESTE,MAN,MAN
11,59,5,TRIESTE,MAN,MAN
12,59,2.702258726899384,TRIESTE,MAN,MAN
13,542,0.35592060232717315,MANIAGO,MAN,PCM
14,494,0.3394934976043806,GORIZIA,MAN,PCM
15,542,2.3874058863791925,MANIAGO,MAN,MAN
16,270,2.844626967830253,UDINE,MAN,PCM
17,270,2.3655030800821355,UDINE,MAN,UNI
8,710,0.9965776865160848,PORDENONE,MAN,BIO
18,711,3.077344284736482,GORIZIA,MAN,BIO
19,350,1.8535249828884328,Mountain,MAN,MAN
20,425,0.2518822724161533,UDINE,MAN,ARC
5,90,0.4161533196440794,TRIESTE,MAN,UNI
21,712,0.6351813826146475,UDINE,MAN,PCM
22,286,0.24914442162902123,PORDENONE,MAN,PCM
23,286,1.218343600273785,PORDENONE,MAN,PCM
24,713,1.7631759069130732,UDINE,MAN,MAN
25,126,0.7392197125256673,UDINE,MAN,MAN
26,714,5,Mountain,MAN,MAN
27,713,1.103353867214237,UDINE,MAN,ENG
28,126,1.4127310061601643,UDINE,MAN,MAN
18,126,1.2813141683778233,UDINE,MAN,MAN
5,715,1.4921286789869952,UDINE,MAN,PCM
29,398,0.05749486652977412,MANIAGO,MAN,MAN
30,716,4.076659822039699,GORIZIA,MAN,MAN
27,444,0.17796030116358658,MONFALCONE,MAN,PCM
18,444,1.7385352498288844,MONFALCONE,MAN,PCM
31,717,2.433949349760438,Coast,PHA,PCM
32,545,3.345653661875428,UDINE,PHA,PCM
