,2.1.1,2.2.1,2.2.2,2.3.1,2.6.1,2.6.2
CF_00018160309,0,1,0,0,0,0
CF_00027730316,1,0,0,0,0,0
CF_00040990319,6,5,0,0,0,0
CF_00046250320,0,1,0,0,0,0
CF_00046260329,1,0,0,0,0,0
CF_00046830329,1,0,0,0,0,1
CF_00047510326,1,2,0,7,0,6
CF_00050880319,2,3,0,1,0,0
CF_00050970318,1,0,0,3,0,0
CF_00051070324,0,0,1,0,0,0
CF_00051080315,0,1,0,0,0,0
CF_00051580322,1,0,0,0,0,0
CF_00051670321,2,0,0,0,0,0
CF_00052120318,3,3,0,0,0,0
CF_00052160314,0,1,0,0,0,0
CF_00052740321,0,0,1,0,0,0
CF_00053520326,0,1,0,0,0,0
CF_00054020326,3,0,0,0,0,0
CF_00055180327,14,4,0,0,0,1
CF_00055590327,18,4,0,5,3,8
CF_00064240310,0,0,0,0,0,1
CF_00065130932,41,81,0,0,2,5
CF_00066430935,0,0,0,0,1,0
CF_00066920935,1,0,0,0,0,0
CF_00067410316,1,0,0,0,0,0
CF_00067620930,0,1,0,0,0,0
CF_00071690937,0,1,0,0,0,0
CF_00071810931,3,0,0,0,0,0
CF_00072220932,9,20,0,0,0,0
CF_00072300312,5,3,1,0,0,1
CF_00074090937,0,1,0,0,0,0
CF_00074230939,3,3,0,0,0,0
CF_00074410937,0,3,0,0,0,0
CF_00074530932,2,1,0,0,0,0
CF_00076440932,1,0,0,0,0,0
CF_00085370930,0,0,0,0,0,1
CF_00090320938,1,0,0,0,0,0
CF_00098290323,3,1,0,2,0,0
CF_00101940328,3,0,0,0,0,0
CF_00102890936,0,1,0,0,0,0
CF_00118410323,35,2,0,0,1,2
CF_00121890933,0,1,0,0,0,0
CF_00122500317,0,0,0,0,0,1
CF_00124430323,4,4,0,5,2,17
CF_00130810328,0,0,0,2,0,0
CF_00133910935,1,1,0,0,0,0
CF_00139620322,0,0,0,1,0,0
CF_00141000935,2,8,0,0,0,0
CF_00151120300,1,1,0,0,0,0
CF_00151830304,6,0,0,0,0,0
CF_00157230301,0,1,0,0,0,0
CF_00157430307,1,1,0,0,0,0
CF_00158530303,0,4,0,0,0,1
CF_00158790303,0,0,0,2,0,0
CF_00160360301,0,1,0,1,0,0
CF_00161230305,1,0,0,0,0,0
CF_00161280300,13,25,0,0,0,1
CF_00161840301,0,0,1,0,0,0
CF_00162520308,4,0,0,0,0,0
CF_00162760318,0,1,0,0,0,0
CF_00162990303,26,36,0,1,0,4
CF_00163570302,0,1,0,0,0,0
CF_00163780307,4,12,1,1,0,2
CF_00164260309,2,0,0,0,0,0
CF_00164770307,0,1,0,0,0,0
CF_00165290305,0,1,0,0,0,0
CF_00166090308,0,0,0,0,0,1
CF_00166710301,6,23,0,1,0,2
CF_00166750307,2,0,0,1,0,0
CF_00167420306,1,0,0,0,0,0
CF_00167460302,68,168,1,2,6,17
CF_00167500248,3,8,1,0,0,2
CF_00167610302,1,0,0,0,0,0
CF_00167700301,5,11,0,0,1,5
CF_00168400307,1,2,0,0,0,0
CF_00168650307,0,4,4,0,0,4
CF_00174670265,1,0,0,0,0,0
CF_00176980183,0,0,0,0,0,1
CF_00179220314,1,0,0,0,0,0
CF_00186880308,0,0,1,0,0,0
CF_00187070313,5,1,0,0,0,0
CF_00188590939,1,0,0,0,0,0
CF_00188930309,1,0,0,0,0,0
CF_00190300301,0,0,0,0,0,1
CF_00193400322,4,5,0,0,1,0
CF_00197820301,2,0,0,0,0,0
CF_00210240321,2,0,0,0,0,4
CF_00211830328,1,0,0,0,0,1
CF_00218360303,18,19,0,0,0,2
CF_00220970305,4,0,0,0,0,0
CF_00223850306,1,1,0,0,1,0
CF_00226320307,0,0,0,0,0,1
CF_00232480228,3,0,0,0,0,2
CF_00235290327,2,0,0,0,0,0
CF_00236760302,0,0,0,0,0,1
CF_00249360306,1,1,0,0,0,0
CF_00254010309,0,0,0,0,0,1
CF_00255390932,1,0,0,0,0,0
CF_00255970303,0,1,0,1,0,0
CF_00257070300,1,0,0,0,0,0
CF_00268100302,1,2,0,6,0,1
CF_00279150106,1,7,0,0,0,0
CF_00284810173,35,59,0,0,0,1
CF_00290660935,0,1,0,0,0,0
CF_00293020327,1,0,0,0,0,0
CF_00298880303,2,2,0,1,0,0
CF_00300430931,0,2,0,0,0,0
CF_00306930322,31,21,1,0,0,1
CF_00307430132,0,2,0,0,0,0
CF_00309290310,0,1,0,0,0,0
CF_00311520308,1,0,0,0,0,0
CF_00311860308,0,1,0,0,0,0
CF_00312110315,0,0,0,1,0,0
CF_00325810265,0,1,0,0,0,0
CF_00334130937,0,3,0,0,0,1
CF_00337460224,1,3,0,0,0,0
CF_00343650305,0,2,0,0,0,0
CF_00362580300,4,0,0,0,0,0
CF_00373400936,0,0,1,0,0,1
CF_00373660315,3,0,0,0,0,0
CF_00382400315,0,3,0,0,0,0
CF_00382470318,0,1,0,0,0,0
CF_00387360936,1,0,0,0,0,0
CF_00393110317,0,1,0,0,0,0
CF_00393160932,1,0,0,0,0,0
CF_00397130584,104,122,13,4,4,12
CF_00398520932,0,1,0,0,0,0
CF_00401650304,2,0,0,0,0,0
CF_00401990585,18,31,1,0,1,2
CF_00404500308,1,0,0,0,0,0
CF_00404580318,1,1,0,0,0,0
CF_00407160936,1,0,0,0,0,0
CF_00411160302,0,1,0,0,0,0
CF_00422620930,0,0,0,0,0,1
CF_00429500937,2,2,0,0,0,0
CF_00435320304,1,0,0,0,0,0
CF_00442660304,5,0,0,0,0,0
CF_00444400311,1,1,0,0,0,0
CF_00449120302,0,0,1,0,0,0
CF_00452490303,2,4,1,0,0,0
CF_00456610302,0,2,0,0,0,0
CF_00461990301,1,1,0,0,0,0
CF_00468340310,1,0,0,0,0,0
CF_00469990311,0,1,0,0,0,0
CF_00471940304,0,0,0,0,0,1
CF_00477620306,0,1,0,0,0,0
CF_00481230266,11,15,0,0,1,1
CF_00482060316,0,0,1,0,0,1
CF_00482400306,0,0,1,0,0,0
CF_00485650311,2,0,0,3,0,1
CF_00487290314,2,0,0,0,0,0
CF_00487980302,0,1,0,0,0,0
CF_00490900305,1,0,0,0,0,0
CF_00509860300,0,0,0,0,0,2
CF_00517380309,0,1,0,0,0,0
CF_00518830302,1,0,0,0,0,0
CF_00523440311,0,1,0,0,0,0
CF_00523880318,2,0,0,0,0,0
CF_00524480308,1,0,0,0,0,0
CF_00527500540,1,2,0,0,0,0
CF_00527970313,5,0,0,0,0,0
CF_00531590321,3,3,1,0,2,15
CF_00532800323,1,0,0,0,0,0
CF_00543900310,44,9,0,0,1,2
CF_00548040302,0,0,1,0,0,0
CF_00550350318,1,0,0,1,0,0
CF_00554400937,1,1,0,0,0,0
CF_00558280319,2,0,0,0,0,0
CF_00566140265,1,0,0,0,0,0
CF_00566630323,7,0,0,0,0,0
CF_00572680320,0,1,0,0,0,0
CF_00575250931,1,0,0,0,0,0
CF_00586700304,1,0,0,0,0,0
CF_00599830932,2,0,0,0,0,0
CF_00601820301,0,4,0,0,0,0
CF_00605750215,0,0,0,2,0,0
CF_00623270931,1,1,0,0,0,0
CF_00623340932,6,5,1,12,2,17
CF_00625050935,0,1,0,0,0,0
CF_00628290934,1,0,0,0,0,0
CF_00631040938,0,1,0,0,0,1
CF_00632300935,4,1,0,0,0,0
CF_00635350077,1,0,0,0,0,0
CF_00654660323,1,1,0,0,0,0
CF_00658410253,4,0,0,0,0,0
