idempl,CF,az_ragione_soc,data_inizio,data_fine,professione,qualifica,qualifica_codice,rl_ateco,rl_ateco_macro,rl_ateco_settore,saldo,sede_op_ateco,sede_op_comune,sede_op_indirizzo,sede_op_provincia,SLL_nome,tipo_contratto
3189,CF_00279150106,"NAVALIMPIANTI SPA",2014-09-15,2019-05-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",INGEGNERE NAVALE,2.2.1.1.2.1,FABBRICAZIONE DI ALTRE MACCHINE E APPARECCHI DI SOLLEVAMENTO E MOVIMENTAZIONE,INDUSTRIA,ATTIVITÀ MANIFATTURIERE,1,28.22.09,MONFALCONE,VIA TERZA ARMATA 18,GORIZIA,MONFALCONE,LAVORO A TEMPO INDETERMINATO
154,CF_90009500316,SPI - CGIL DEL COMPRENSORIO DI GORIZIA,2014-03-17,2014-12-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ANALISTI E PROGETTISTI DI BASI DATI,2.1.1.5.2.0,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,SERVIZI,ALTRE ATTIVITÀ DI SERVIZI,1,94.20.00,MONFALCONE,VIA PACINOTTI 21,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
154,CF_90009500316,SPI - CGIL DEL COMPRENSORIO DI GORIZIA,2014-03-17,2014-12-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",ANALISTI E PROGETTISTI DI BASI DATI,2.1.1.5.2.0,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,SERVIZI,ALTRE ATTIVITÀ DI SERVIZI,1,94.20.00,MONFALCONE,VIA PACINOTTI 21,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
2874,CF_02741260307,A3A INNOVATIVA S.R.L.,2014-05-01,2014-12-31,PROFESSIONI TECNICHE,RESPONSABILE AREA DEI SERVIZI VENDITA E DISTRIBUZIONE,3.3.3.4.0.2,AGENZIE DI INFORMAZIONI COMMERCIALI,SERVIZI,"NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE",1,82.91.20,MONFALCONE,VIA VERDI 36,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
2874,CF_02741260307,A3A INNOVATIVA S.R.L.,2014-05-01,2014-12-31,PROFESSIONI TECNICHE,RESPONSABILE AREA DEI SERVIZI VENDITA E DISTRIBUZIONE,3.3.3.4.0.2,AGENZIE DI INFORMAZIONI COMMERCIALI,SERVIZI,"NOLEGGIO, AGENZIE DI VIAGGIO, SERVIZI DI SUPPORTO ALLE IMPRESE",1,82.91.20,MONFALCONE,VIA VERDI 36,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
736,CF_01137480313,NORD COMPOSITES ITALIA S.R.L.,2014-06-03,2015-04-10,PROFESSIONI NON QUALIFICATE,OPERAIO DI MANOVRA,8.1.3.1.0.21,-,"NAN","NAN",1,78.10.00,MONFALCONE,"VIALE SAN MARCO, 14",GORIZIA,MONFALCONE,LAVORO A TEMPO DETERMINATO
291,CF_02609250358,SMART GAS S.P.A.,2014-07-07,2015-12-30,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",INGEGNERI INDUSTRIALI E GESTIONALI,2.2.1.7.0.0,SERVIZI DI PROGETTAZIONE DI INGEGNERIA INTEGRATA,SERVIZI,"ATTIVITÀ PROFESSIONALI, SCIENTIFICHE E TECNICHE",1,71.12.20,MONFALCONE,VIA DEI BAGNI 26,GORIZIA,MONFALCONE,LAVORO A TEMPO DETERMINATO
3557,CF_00123030314,COMUNE DI MONFALCONE,2014-04-02,2014-05-31,PROFESSIONI ESECUTIVE NEL LAVORO D'UFFICIO,ADDETTO AL CONTROLLO SETTORE AMMINISTRATIVO,4.4.1.1.0.6,-,"NAN","NAN",1,78.10.00,MONFALCONE,"VIALE SAN MARCO, 14",GORIZIA,MONFALCONE,LAVORO A TEMPO DETERMINATO
236,CF_80001020314,CAMERA DEL LAVORO TERRITORIALE DI GORIZIA CGIL,2014-01-01,2014-03-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI BASI DATI,2.1.1.5.2.2,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,SERVIZI,ALTRE ATTIVITÀ DI SERVIZI,1,94.20.00,MONFALCONE,VIA PACINOTTI 21,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
236,CF_80001020314,CAMERA DEL LAVORO TERRITORIALE DI GORIZIA CGIL,2014-01-01,2014-03-31,"PROFESSIONI INTELLETTUALI, SCIENTIFICHE E DI ELEVATA SPECIALIZZAZIONE",PROGETTISTA DI BASI DATI,2.1.1.5.2.2,ATTIVITÀ DEI SINDACATI DI LAVORATORI DIPENDENTI,SERVIZI,ALTRE ATTIVITÀ DI SERVIZI,1,94.20.00,MONFALCONE,VIA PACINOTTI 21,GORIZIA,MONFALCONE,LAVORO A PROGETTO / COLLABORAZIONE COORDINATA E CONTINUATIVA
