idempl,id_cittadino
0,.
2,ID_279566332
3,ID_278937145
4,ID_279733163
4,ID_284580933
5,ID_279335128
5,ID_284182898
6,ID_279578787
7,ID_278840389
7,ID_283688160
8,ID_279445729
8,ID_284293499
9,ID_279754900
9,ID_284602670
10,ID_279691490
10,ID_284539260
11,ID_279061848
12,ID_284400471
13,ID_279565240
14,ID_279532434
15,ID_279623244
15,ID_279623244
16,ID_279135556
16,ID_283983326
17,ID_279335542
18,ID_279647793
19,ID_283756615
20,ID_279651401
21,ID_279751960
22,ID_279714034
23,ID_279699371
24,ID_279729626
25,ID_279754013
26,ID_279732736
26,ID_284580506
27,ID_279709323
28,ID_279722544
29,ID_279733411
29,ID_284581181
30,ID_279446688
30,ID_279446688
31,ID_278978142
31,ID_278978142
31,ID_283825913
31,ID_283825913
32,ID_284152840
33,ID_279268028
34,ID_279673690
35,ID_278821797
35,ID_283669568
36,ID_284465913
37,ID_279512959
38,ID_279756664
39,ID_278877535
39,ID_278877535
39,ID_278877535
39,ID_283725306
39,ID_283725306
39,ID_283725306
40,ID_279588078
40,ID_284435848
41,ID_279669006
42,ID_279667543
43,ID_284270276
44,ID_279655580
44,ID_284503350
45,ID_279164209
45,ID_284011979
46,ID_284338376
47,ID_279524000
47,ID_284371770
48,ID_279660832
49,ID_279773218
49,ID_284620988
50,ID_279421749
50,ID_284269519
51,ID_279339497
52,ID_279758047
52,ID_284605817
53,ID_278928445
54,ID_279220361
54,ID_279220361
54,ID_284068131
54,ID_284068131
55,ID_279220397
55,ID_279220397
55,ID_284068167
55,ID_284068167
56,ID_279016901
56,ID_279016901
56,ID_283864671
56,ID_283864671
57,ID_279685638
58,ID_284541800
59,ID_279796695
60,ID_279703498
60,ID_279703498
61,ID_283876098
62,ID_279228306
62,ID_284076076
63,ID_279217585
63,ID_279217585
64,ID_284278813
65,ID_279573394
66,ID_278825419
66,ID_283673190
67,ID_279569833
67,ID_279569833
67,ID_284417603
67,ID_284417603
68,ID_279228097
68,ID_279228097
69,ID_279027113
69,ID_279027113
69,ID_283874883
69,ID_283874883
70,ID_279322267
70,ID_284170037
71,ID_279188769
72,ID_279756657
73,ID_279436977
73,ID_279436977
73,ID_284284747
73,ID_284284747
74,ID_278766962
74,ID_283614733
75,ID_279487993
75,ID_284335763
76,ID_278924291
77,ID_284502853
78,ID_279059746
78,ID_279059746
78,ID_279059746
79,ID_279756922
80,ID_279003050
80,ID_279003050
80,ID_283850820
80,ID_283850820
81,ID_279593386
81,ID_284441156
82,ID_279761732
82,ID_279761732
82,ID_284609502
83,ID_283883463
84,ID_279152547
84,ID_284000317
85,ID_278995151
85,ID_279607045
85,ID_283842922
86,ID_283978858
87,ID_284020139
88,ID_279303782
88,ID_279303782
88,ID_284151552
88,ID_284151552
89,ID_283661350
90,ID_279284860
90,ID_284132630
91,ID_279557058
92,ID_278972386
92,ID_283820157
93,ID_279625575
94,ID_284249789
95,ID_279637293
96,ID_279731226
96,ID_284578996
97,ID_278787743
97,ID_278787743
97,ID_283635514
97,ID_283635514
98,ID_279487129
98,ID_284334899
99,ID_279723751
100,ID_284416469
101,ID_284427636
102,ID_279188984
