local_unit_id,CF,az_ragione_soc,sede_op_comune,sede_op_indirizzo,sede_op_provincia,SLL_codice,SLL_nome,comune_istat,sede_op_ateco
1408,cf_01107970319,S.M.I SRL,MONFALCONE,"P.LE COSULICH, 1",Gorizia,608,Monfalcone,Monfalcone,25.11.00
1359,cf_01089420317,A.M. PROJECT S.R.L. IN LIQUIDAZIONE,MONFALCONE,C/O FINCANTIERI CNI SPA,Gorizia,608,Monfalcone,Monfalcone,43.21.01
762,cf_00491250312,IDROTEL IMPIANTI SCARL,MONFALCONE,VIA M. MORO 1,Gorizia,608,Monfalcone,Monfalcone,45.31.0
1410,cf_01107970319,S.M.I SRL,MONFALCONE,"Viale San Marco, 14",Gorizia,608,Monfalcone,Monfalcone,78.10.00
1406,cf_01107970319,S.M.I SRL,MONFALCONE,"c/o Stabilimento FINCANTIERI - Via Cosulich, 1",Gorizia,608,Monfalcone,Monfalcone,25.11.00
1931,cf_01412210302,SIMEON SRL,MONFALCONE,CORSO DEL POPOLO 21,Gorizia,608,Monfalcone,Monfalcone,74.50.1
1409,cf_01107970319,S.M.I SRL,MONFALCONE,VIA GRADO 82,Gorizia,608,Monfalcone,Monfalcone,25.11.00
41,cf_00052160314,SBE-VARVIT S.P.A.,MONFALCONE,VIA DEI BAGNI 26,Gorizia,608,Monfalcone,Monfalcone,25.94.00
469,cf_00223850306,IDEALSERVICE SOC. COOP.,MONFALCONE,"Via Nino Bixio, 8/B",Gorizia,608,Monfalcone,Monfalcone,74.50.1
776,cf_00524480308,S.O. HOLDING S.P.A.,MONFALCONE,CORSO DEL POPOLO 21,Gorizia,608,Monfalcone,Monfalcone,74.50.1
2011,cf_01507200937,CIMOLAI S.P.A.,MONFALCONE,VIA TIMAVO 69,Gorizia,608,Monfalcone,Monfalcone,25.11.00
3210,cf_05838230968,NEW YORKER ITALIA SRL,MONFALCONE,"Via Nino Bixio, 8/B",Gorizia,608,Monfalcone,Monfalcone,74.50.1
1511,cf_01144910310,GAIA S.P.A.,MONFALCONE,VIA DEI BAGNI NUOVA 3,Gorizia,608,Monfalcone,Monfalcone,10.86.00
43,cf_00052160314,SBE-VARVIT S.P.A.,MONFALCONE,"Viale San Marco, 14",Gorizia,608,Monfalcone,Monfalcone,78.10.00
3226,cf_06342240964,MONTE CARLO YACHTS S.P.A.,MONFALCONE,VIA CONSIGLIO D'EUROPA 90,Gorizia,608,Monfalcone,Monfalcone,30.12.00
680,cf_00439730318,TECNOCOOP - SOC. COOP. SCARL,MONFALCONE,C/O TERZI MONFALCONE,Gorizia,608,Monfalcone,Monfalcone,81.21.00
330,cf_00167500248,NIDEC ASI SPA,MONFALCONE,CORSO DEL POPOLO 21,Gorizia,608,Monfalcone,Monfalcone,74.50.1
1476,cf_01137050314,GREEN CONTROL SRL,MONFALCONE,VIA FRATELLI ROSSELLI 22,Gorizia,608,Monfalcone,Monfalcone,78.20.00
1455,cf_01126750312,DANIELI SPECIAL CRANES SRL,MONFALCONE, VIA LUIGI GALVANI 18 ,Gorizia,608,Monfalcone,Monfalcone,78.20.00
42,cf_00052160314,SBE-VARVIT S.P.A.,MONFALCONE,"Via Nino Bixio, 8/B",Gorizia,608,Monfalcone,Monfalcone,74.50.1
3314,cf_11574560154,IKEA ITALIA RETAIL SRL,MONFALCONE,"Via Nino Bixio, 8/B",Gorizia,608,Monfalcone,Monfalcone,74.50.1
682,cf_00439730318,TECNOCOOP - SOC. COOP. SCARL,MONFALCONE,"Viale San Marco, 14",Gorizia,608,Monfalcone,Monfalcone,78.10.00
1312,cf_01066650316,EDILGO SRL,MONFALCONE,VIA DEL MERCATO 5,Gorizia,608,Monfalcone,Monfalcone,41.20.00
2779,cf_02545900108,COSTA CROCIERE SPA,MONFALCONE,P.LE COSULICH 1,Gorizia,608,Monfalcone,Monfalcone,50.10.00
